species_name,class,max_obs_length_cm
Gerres subfasciatus,Actinopterygii,25
Hemigymnus fasciatus,Actinopterygii,25
Heniochus chrysostomus,Actinopterygii,25
Holothuria pervicax,Holothuroidea,25
Hypoplectrodes maccullochi,Actinopterygii,25
Hypoplectrodes nigroruber,Actinopterygii,25
Kyphosus bigibbus,Actinopterygii,25
Lutjanus gibbus,Actinopterygii,25
Lutjanus quinquelineatus,Actinopterygii,25
Meuschenia australis,Actinopterygii,25
Mugil cephalus,Actinopterygii,25
Myripristis hexagona,Actinopterygii,25
Neoniphon sammara,Actinopterygii,25
Oxycheilinus digrammus,Actinopterygii,25
Parapercis ramsayi,Actinopterygii,25
Parma microlepis,Actinopterygii,25
Parma polylepis,Actinopterygii,25
Parma unifasciata,Actinopterygii,25
Parma victoriae,Actinopterygii,25
Parupeneus multifasciatus,Actinopterygii,25
Parupeneus pleurostigma,Actinopterygii,25
Pelates sexlineatus,Actinopterygii,25
Pempheris multiradiata,Actinopterygii,25
Penaeus esculentus,Malacostraca,25
Platycephalus bassensis,Actinopterygii,25
Pterois volitans,Actinopterygii,25
Sarda australis,Actinopterygii,25
Saurida nebulosa,Actinopterygii,25
Scarus dimidiatus,Actinopterygii,25
Scarus psittacus,Actinopterygii,25
Schuettea scalaripinnis,Actinopterygii,25
Scolopsis bilineata,Actinopterygii,25
Siganus corallinus,Actinopterygii,25
Siganus punctatissimus,Actinopterygii,25
Siganus stellatus,Actinopterygii,25
Siganus vulpinus,Actinopterygii,25
Sufflamen chrysopterum,Actinopterygii,25
Sufflamen fraenatum,Actinopterygii,25
Thalassoma lunare,Actinopterygii,25
Upeneichthys vlamingii,Actinopterygii,25
Zanclus cornutus,Actinopterygii,25
Zebrasoma veliferum,Actinopterygii,25
Acanthaster planci,Asteroidea,20
Bodianus axillaris,Actinopterygii,20
Caesioperca lepidoptera,Actinopterygii,20
Centropogon australis,Actinopterygii,20
Cephalopholis boenak,Actinopterygii,20
Chaetodon ephippium,Actinopterygii,20
Chaetodon flavirostris,Actinopterygii,20
