site_code,density,size_bin,bin_floor,bin_ceiling,bin_mid,bin_width,norm_density,lat,lon,ecoregion
NSW5,18333.6814516217,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,250380.415441419,-37.10036,149.9285,Cape Howe
NSW5,9860.51353268024,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,95221.5420102403,-37.10036,149.9285,Cape Howe
NSW5,5018.72164304783,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,34269.9749989386,-37.10036,149.9285,Cape Howe
NSW5,1253.2353819884,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,6051.15571208444,-37.10036,149.9285,Cape Howe
NSW5,672.155966860573,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,2294.88401808537,-37.10036,149.9285,Cape Howe
NSW5,268.963780100431,0,1,1.4142135623731,1.20710678118655,0.414213562373095,649.336005705596,-37.10036,149.9285,Cape Howe
NSW5,197.634665652739,1,1.4142135623731,2,1.70710678118655,0.585786437626905,337.383477933327,-37.10036,149.9285,Cape Howe
NSW5,96.8872000451372,2,2,2.82842712474619,2.4142135623731,0.82842712474619,116.953196184663,-37.10036,149.9285,Cape Howe
NSW5,16.5790591484396,3,2.82842712474619,4,3.4142135623731,1.17157287525381,14.1511121489971,-37.10036,149.9285,Cape Howe
NSW5,13.171956626931,4,4,5.65685424949238,4.82842712474619,1.65685424949238,7.94997908293174,-37.10036,149.9285,Cape Howe
NSW5,5.52489796146213,5,5.65685424949238,8,6.82842712474619,2.34314575050762,2.35789769384393,-37.10036,149.9285,Cape Howe
PS13,23048.3767219,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,445149.629381563,-32.71802,152.14133,Manning-Hawkesbury
PS13,9920.0361494,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,135476.487842051,-32.71802,152.14133,Manning-Hawkesbury
PS13,4907.315979842,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,47389.2351735391,-32.71802,152.14133,Manning-Hawkesbury
PS13,1500.752479348,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,10247.77893751,-32.71802,152.14133,Manning-Hawkesbury
PS13,529.136779183,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,2554.89837730803,-32.71802,152.14133,Manning-Hawkesbury
PS13,188.643938308,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,644.070692630647,-32.71802,152.14133,Manning-Hawkesbury
PS13,87.2909034872,0,1,1.4142135623731,1.20710678118655,0.414213562373095,210.738883070599,-32.71802,152.14133,Manning-Hawkesbury
PS13,31.7504846518,1,1.4142135623731,2,1.70710678118655,0.585786437626905,54.2014676550472,-32.71802,152.14133,Manning-Hawkesbury
PS13,17.15094747412,2,2,2.82842712474619,2.4142135623731,0.82842712474619,20.7030249997845,-32.71802,152.14133,Manning-Hawkesbury
PS13,9.17589343891,3,2.82842712474619,4,3.4142135623731,1.17157287525381,7.8321149565042,-32.71802,152.14133,Manning-Hawkesbury
PS13,1.95755915152,4,4,5.65685424949238,4.82842712474619,1.65685424949238,1.18149146318679,-32.71802,152.14133,Manning-Hawkesbury
PS13,5.12,5,5.65685424949238,8,6.82842712474619,2.34314575050762,2.18509667991878,-32.71802,152.14133,Manning-Hawkesbury
PS17,39927.0715076,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,771139.820315907,-32.714463,152.15183,Manning-Hawkesbury
PS17,19600.493284073,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,267681.079998739,-32.714463,152.15183,Manning-Hawkesbury
PS17,10206.570475779,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,98563.36347177,-32.714463,152.15183,Manning-Hawkesbury
PS17,3569.832175191,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,24376.3388558659,-32.714463,152.15183,Manning-Hawkesbury
PS17,972.0997914607,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,4693.71300104896,-32.714463,152.15183,Manning-Hawkesbury
PS17,382.312373655,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,1305.29609119595,-32.714463,152.15183,Manning-Hawkesbury
PS17,167.3889649445,0,1,1.4142135623731,1.20710678118655,0.414213562373095,404.112709360606,-32.714463,152.15183,Manning-Hawkesbury
PS17,65.3187474304,1,1.4142135623731,2,1.70710678118655,0.585786437626905,111.506076677047,-32.714463,152.15183,Manning-Hawkesbury
PS17,46.61851381046,2,2,2.82842712474619,2.4142135623731,0.82842712474619,56.273524149445,-32.714463,152.15183,Manning-Hawkesbury
PS17,26.90368929481,3,2.82842712474619,4,3.4142135623731,1.17157287525381,22.963735217053,-32.714463,152.15183,Manning-Hawkesbury
PS17,7.28250251706,4,4,5.65685424949238,4.82842712474619,1.65685424949238,4.39537908617561,-32.714463,152.15183,Manning-Hawkesbury
PS17,3.498666666,5,5.65685424949238,8,6.82842712474619,2.34314575050762,1.49314939765998,-32.714463,152.15183,Manning-Hawkesbury
QLD43,47373.040348695,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,914949.092005339,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,15224.394236716,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,207917.333127642,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,4484.0267263108,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,43301.5925468119,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,1595.641452816,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,10895.7213777782,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,486.25435191,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,2347.84370228812,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,212.639953004,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,725.998211448634,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,82.72887617,0,1,1.4142135623731,1.20710678118655,0.414213562373095,199.725174849498,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,14.2897324096,1,1.4142135623731,2,1.70710678118655,0.585786437626905,24.3940990977693,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,16.27182673681,2,2,2.82842712474619,2.4142135623731,0.82842712474619,19.6418323962959,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,3.34505243705,3,2.82842712474619,4,3.4142135623731,1.17157287525381,2.85518084935632,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD43,0.09355002588,4,4,5.65685424949238,4.82842712474619,1.65685424949238,0.0564624353099625,-14.69473,145.45921,Torres Strait Northern Great Barrier Reef
QLD44,4589.41590971483,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,88638.6410608353,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,1361.39169867446,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,18592.328005266,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,651.068344891028,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,6287.27211307089,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,513.763020826161,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,3508.1933471009,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,544.943026695666,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,2631.21769153864,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,272.702882901106,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,931.065881299199,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,62.463029436367,0,1,1.4142135623731,1.20710678118655,0.414213562373095,150.799092812187,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,22.5872539775909,1,1.4142135623731,2,1.70710678118655,0.585786437626905,38.5588544335282,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,1.7964912071462,8,16,22.6274169979695,19.3137084989848,6.62741699796953,0.271069589811023,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,5.6120715622222,2,2,2.82842712474619,2.4142135623731,0.82842712474619,6.77436963926259,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,1.5844033689444,3,2.82842712474619,4,3.4142135623731,1.17157287525381,1.3523728676299,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,1.7964912071462,9,22.6274169979695,32,27.3137084989848,9.37258300203049,0.19167514512883,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,4.1399926829435,4,4,5.65685424949238,4.82842712474619,1.65685424949238,2.49870662082189,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD44,0.898245603415205,5,5.65685424949238,8,6.82842712474619,2.34314575050762,0.383350290190274,-14.68942,145.46617,Torres Strait Northern Great Barrier Reef
QLD48,18057.925321308,-6,0.125,0.176776695296637,0.150888347648318,0.0517766952966369,348765.505752179,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
QLD48,8334.814736127,-5,0.176776695296637,0.25,0.213388347648318,0.0732233047033631,113827.350047808,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
QLD48,3356.9119778931,-4,0.25,0.353553390593274,0.301776695296637,0.103553390593274,32417.2096988889,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
QLD48,1263.436392894,-3,0.353553390593274,0.5,0.426776695296637,0.146446609406726,8627.28333562887,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
QLD48,588.136748962,-2,0.5,0.707106781186548,0.603553390593274,0.207106781186548,2839.77543174816,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
QLD48,315.146645744,-1,0.707106781186548,1,0.853553390593274,0.292893218813453,1075.97795203555,-14.68689,145.44195,Torres Strait Northern Great Barrier Reef
