ecoregion,site_code,bin_mid,norm_density,lat,lon
Manning-Hawkesbury,PS17,77.2548339959391,0.0179648890129123,-32.714463,152.15183
Torres Strait Northern Great Barrier Reef,QLD43,77.2548339959391,0.0508870952443954,-14.69473,145.45921
Torres Strait Northern Great Barrier Reef,QLD44,77.2548339959391,0.0146110216639455,-14.68942,145.46617
Torres Strait Northern Great Barrier Reef,QLD48,77.2548339959391,0.0829131470327509,-14.68689,145.44195
Torres Strait Northern Great Barrier Reef,QLD51,77.2548339959391,0.0108513870017082,-14.65706,145.45076
Tweed-Moreton,SI21,77.2548339959391,0.174385016451554,-30.00751,153.27028
Tweed-Moreton,SI29,77.2548339959391,0.0158432765030734,-29.98321,153.2278
Tweed-Moreton,SI6,77.2548339959391,0.0357399627088812,-30.01765,153.2692
Manning-Hawkesbury,SYD1,77.2548339959391,0.00509248173313074,-33.85186,151.21997
Manning-Hawkesbury,SYD3,77.2548339959391,0.0221428650173907,-33.86328,151.24196
Manning-Hawkesbury,SYD30,77.2548339959391,0.0243590376234754,-33.841655,151.253968
Manning-Hawkesbury,SYD31,77.2548339959391,0.0318416326967854,-33.840111,151.277492
Manning-Hawkesbury,SYD37,77.2548339959391,0.0399970189227773,-33.83036,151.26378
Manning-Hawkesbury,SYD6,77.2548339959391,0.00922933726448881,-33.85595,151.26602
Manning-Hawkesbury,SYD9,77.2548339959391,0.00754441738241592,-33.852053,151.263956
Bassian,TAS26,77.2548339959391,0.00128255095501071,-43.14242,147.29123
Bassian,TAS43,77.2548339959391,0.00705403025255888,-43.08944,147.30101
Bassian,TAS84,77.2548339959391,0.0170881053711721,-41.87563,148.31159
Bassian,TAS88,77.2548339959391,0.000301776695296637,-41.87094,148.31732
Cape Howe,BS-S8,109.254833995939,0.0034208819482371,-39.21514893,146.9923859
Bassian,DE4,109.254833995939,0.0105893967520478,-42.90611,147.3447
Bassian,DE46,109.254833995939,0.00394768443149389,-42.861017,147.3501
